geht schneller als man denkt, https://media.giphy.com/media/3o85xnPJFCvbRByIuI/giphy.gif
ich machs beim nächsten Spiegel, https://media.giphy.com/media/1xndaOx7tujSDvCSLE/giphy.gif
ich mach auch ganz langsam, https://media.giphy.com/media/3oEdv31GFbqFZN0PiE/giphy.gif
ich will dich ganz oben würgen, https://media.giphy.com/media/3o85xuyd7tzEpDWQhi/giphy.gif
man muss es genießen, https://media.giphy.com/media/l3fzSbpE9NJfLMSo8/giphy.gif
würgen und schütteln, https://media.giphy.com/media/y6jA7OlOhOnO8/giphy.gif
ein Klassiker, https://media.giphy.com/media/l0G17mKNa6XJHYN5m/giphy.gif
https://media.giphy.com/media/8cMM1yM3gWXCJOF6lD/giphy.gif
...es hieß würgen, https://media.giphy.com/media/1NPUvnOFYZKvSrvXC2/giphy.gif
etwa so?, https://vid.pr0gramm.com/2016/02/02/8a0f37e41ee45374.mp4
